iteration,throughput (toks/s),scheduling_policy
0,121.40924184425205,deepspeed
1,95.9099813398025,deepspeed
2,120.9857576566117,deepspeed
3,102.74588662462337,deepspeed
4,121.56595395233408,deepspeed
5,100.5370549713077,deepspeed
6,100.25103034620628,deepspeed
7,108.4011119024099,deepspeed
8,134.192768145125,deepspeed
9,126.46373080916672,deepspeed
10,116.3567138530774,deepspeed
11,116.51300697153071,deepspeed
12,95.82174274490889,deepspeed
13,104.27064317114908,deepspeed
14,107.21430442923513,deepspeed
15,128.28369487253718,deepspeed
16,110.62467965390167,deepspeed
17,91.49539629437297,deepspeed
18,98.860217447383,deepspeed
19,119.5756379841169,deepspeed
20,109.26316280774485,deepspeed
21,113.65451896278122,deepspeed
22,105.94129112378707,deepspeed
23,96.85780141144502,deepspeed
24,123.1880453012691,deepspeed
25,108.14686047567231,deepspeed
26,132.90773033966985,deepspeed
27,105.28677154672667,deepspeed
28,131.51661062506884,deepspeed
29,108.59689657795046,deepspeed
30,115.6081769874984,deepspeed
31,102.28538883890172,deepspeed
32,115.03714948206789,deepspeed
33,95.81541905737315,deepspeed
34,108.83298946483008,deepspeed
35,115.39648445448402,deepspeed
36,94.88256020570724,deepspeed
37,108.66011937541367,deepspeed
38,124.71556589105029,deepspeed
39,127.18383986765701,deepspeed
40,107.21792061986815,deepspeed
41,120.42838368730959,deepspeed
42,115.42310213413761,deepspeed
43,92.36893510345055,deepspeed
44,95.96000812192032,deepspeed
45,92.05108823575134,deepspeed
46,112.58558393983702,deepspeed
47,98.1219378107028,deepspeed
48,109.88243204890296,deepspeed
49,101.52729326569103,deepspeed
50,106.69780368289341,deepspeed
51,99.0091338984365,deepspeed
52,91.5184103628978,deepspeed
53,119.22459883230992,deepspeed
54,104.79714151020167,deepspeed
55,91.97155486469678,deepspeed
56,104.84873518506335,deepspeed
57,126.48722247795091,deepspeed
58,95.52975013072513,deepspeed
59,104.93444261787538,deepspeed
60,99.41826450390683,deepspeed
61,125.93338234613407,deepspeed
62,125.63590245168787,deepspeed
63,131.36954860651176,deepspeed
64,104.70797303367358,deepspeed
65,94.73849276990904,deepspeed
66,100.81828731369693,deepspeed
67,115.35399219348186,deepspeed
68,118.31361719757763,deepspeed
69,105.05664221118936,deepspeed
70,127.94205640696596,deepspeed
71,91.55073277901853,deepspeed
72,107.35841741283858,deepspeed
73,123.06021391189327,deepspeed
74,127.47307115071726,deepspeed
75,104.74699735452947,deepspeed
76,94.49088374932356,deepspeed
77,101.50956431947073,deepspeed
78,108.89552548808555,deepspeed
79,102.66943974096517,deepspeed
80,94.81242147102316,deepspeed
81,100.94002307325533,deepspeed
82,122.66216186301631,deepspeed
83,129.18322794780224,deepspeed
84,51.930881122019734,deepspeed
85,88.67820070017014,deepspeed
